========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
1593.52000000,19.6,19.35286237,0.24713763,"[1563.24000000, 1607.93000000, 1575.25000000, 1617.72000000, 1577.39000000, 1619.59000000]"
1965.50666667,24.5,23.77392296,0.72607704,"[1954.56000000, 1970.46000000, 1971.50000000]"
420.74633333,4.9,5.41445029,-0.51445029,"[374.12300000, 459.63300000, 378.02000000, 464.95800000, 382.35800000, 465.38600000]"
812.45833333,9.8,10.06994642,-0.26994642,"[763.13900000, 848.54100000, 774.49000000, 855.64400000, 779.24400000, 853.69200000]"
总计,-0.00000000,,,
SUMPRODUCT,1028126.96700000,,,
MAX(ABS(差值))/50,0.72607704,,0.01452154,
a,0.01188500,,,
b,0.41388118,,,
,,,,,,,,
,,,,,,,,
========== My 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
循环类型,My设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,0.06574130,0.05849456,"[0.00000000, 0.08518905, 0.11203485]",0.08870368,0.02178751,"[0.08518905, 0.11203485, 0.06888715]",0.02296238
正值循环,4.9,4.89859624,0.07735499,"[4.81094355, 4.92753803, 4.95730713]",5.55537211,0.07262578,"[5.47783081, 5.56648388, 5.62180165]",0.65677588
正值循环,9.8,9.77200718,0.09087135,"[9.67456050, 9.78703021, 9.85443083]",10.50025506,0.07343401,"[10.41711676, 10.52738221, 10.55626620]",0.72824788
正值循环,14.7,14.55772718,0.07854330,"[14.46792770, 14.59162285, 14.61363099]",15.22482417,0.07540668,"[15.14216011, 15.24246743, 15.28984497]",0.66709699
正值循环,19.6,19.18956145,0.07915408,"[19.10111850, 19.21381417, 19.25375168]",19.68339688,0.07559616,"[19.59787215, 19.71102915, 19.74128933]",0.49383543
正值循环,24.5,23.69807075,0.07031969,"[23.62257984, 23.70991832, 23.76171409]",23.69807075,0.07031969,"[23.62257984, 23.70991832, 23.76171409]",0.00000000
负值循环,-24.5,-24.32286882,0.07611389,"[-24.40580779, -24.30658207, -24.25621661]",-24.32286882,0.07611389,"[-24.40580779, -24.30658207, -24.25621661]",0.00000000
负值循环,-19.6,-19.85383766,0.13943309,"[-19.69302901, -19.94109897, -19.92738501]",-19.43393179,0.05478265,"[-19.49534342, -19.41636363, -19.39008832]",0.41990587
负值循环,-14.7,-15.23059007,0.07282182,"[-15.14651029, -15.27360984, -15.27165007]",-14.53042980,0.04812513,"[-14.58546439, -14.50957762, -14.49624739]",0.70016027
负值循环,-9.8,-10.47965799,0.04205898,"[-10.43153992, -10.49802085, -10.50941320]",-9.63555900,0.03676489,"[-9.67004477, -9.63975686, -9.59687536]",0.84409899
负值循环,-4.9,-5.64292894,0.08625626,"[-5.55162365, -5.72304390, -5.65411927]",-4.74982164,0.02421855,"[-4.72336854, -4.75519243, -4.77090396]",0.89310730
负值循环,0.0,-0.14121667,0.12367915,"[0.00000000, -0.19338801, -0.23026199]",-0.22270217,0.02636022,"[-0.19338801, -0.23026199, -0.24445651]",0.08148550
正循环标准偏差,0.07218601,,,,,,,
负循环标准偏差,0.07571168,,,,,,,
重复性,0.00302847,,,,,,,
Last记录量,0.00012114,,,,,,,
迟滞性,0.01786215,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
-1224.84166667,-14.7,-14.82389472,0.12389472,"[-1199.91000000, -1248.06000000, -1192.97000000, -1258.40000000, -1191.67000000, -1258.04000000]"
-1615.37166667,-19.6,-19.55454099,-0.04545901,"[-1602.97000000, -1620.16000000, -1595.73000000, -1640.68000000, -1593.33000000, -1639.36000000]"
-1998.71333333,-24.5,-24.19811211,-0.30188789,"[-2006.15000000, -1997.20000000, -1992.79000000]"
-429.07183333,-4.9,-5.18441607,0.28441607,"[-388.85500000, -459.84700000, -391.28100000, -473.93800000, -392.47300000, -468.03700000]"
-828.71116667,-9.8,-10.02540735,0.22540735,"[-796.12900000, -861.10000000, -792.79400000, -866.15200000, -789.03000000, -867.06200000]"
5.57465500,0(正),0.08063089,-0.08063089,"[0.00000000, 7.12773000, 9.36312000, 5.80777000]"
-13.93775000,0(负),-0.15573068,0.15573068,"[0.00000000, -16.12800000, -19.26690000, -20.35610000]"
1232.47333333,14.7,14.94254589,-0.24254589,"[1196.14000000, 1253.80000000, 1206.93000000, 1262.49000000, 1208.84000000, 1266.64000000]"
1606.80333333,19.6,19.47695507,0.12304493,"[1578.18000000, 1620.45000000, 1587.88000000, 1630.22000000, 1591.27000000, 1632.82000000]"
1957.02666667,24.5,23.71935055,0.78064945,"[1950.54000000, 1958.07000000, 1962.47000000]"
433.93233333,4.9,5.26949898,-0.36949898,"[398.13400000, 455.56200000, 408.04400000, 463.24800000, 410.60600000, 468.00000000]"
840.02866667,9.8,10.18870649,-0.38870649,"[800.44300000, 864.13500000, 810.10200000, 873.53500000, 815.88600000, 876.07100000]"
总计,-0.00000000,,,
SUMPRODUCT,1009904.07770000,,,
MAX(ABS(差值))/50,0.78064945,,0.01561299,
a,0.01211340,,,
b,0.01310287,,,
,,,,,,,,
,,,,,,,,
========== Mz 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
