========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
My,6.382593e-06,1.917254e-06,2.004785e-08,2.018364e-05,5.965580e-05,4.212569e-06,,
My,2.631798e-05,4.283209e-06,7.120347e-08,4.771961e-05,2.496916e-04,1.126051e-05,,
My,5.905275e-07,1.301502e-06,1.690003e-07,1.150421e-05,4.930989e-06,2.796962e-06,,
My,4.382258e-06,1.568473e-07,3.080479e-08,9.031005e-07,1.177084e-04,1.365903e-07,,
My,1.365103e-05,7.753930e-09,2.364369e-09,4.585148e-07,2.116340e-04,8.149620e-08,,
My,1.496232e-05,1.853376e-07,5.012235e-08,5.101973e-06,1.776803e-04,6.988646e-07,,
My,4.762709e-09,7.459180e-08,3.384352e-09,1.889068e-06,5.020723e-06,2.721774e-10,,
My,5.071818e-07,3.391477e-07,1.568559e-07,6.927948e-06,1.313643e-06,1.757797e-06,,
My,6.271498e-07,1.156729e-08,1.972169e-08,7.833270e-08,1.185086e-06,2.311283e-09,,
My,1.079374e-07,5.314616e-07,6.534182e-10,3.825050e-06,2.983842e-06,9.363252e-07,,
My,5.711400e-06,1.558201e-06,4.262759e-08,1.912890e-05,4.795516e-05,3.747073e-06,,
My,2.447330e-05,3.880398e-06,1.687866e-07,4.666110e-05,2.180264e-04,1.029476e-05,,
My,3.445284e-07,8.144435e-07,1.741033e-07,9.837443e-06,7.985070e-06,1.758026e-06,,
My,5.896052e-06,4.977528e-08,3.724646e-08,6.680277e-07,1.391668e-04,6.484723e-08,,
My,1.504257e-05,2.160320e-08,1.904065e-10,1.219796e-06,2.287754e-04,9.859412e-08,,
My,1.719253e-05,4.680380e-07,3.223113e-08,6.481641e-06,2.083990e-04,1.228897e-06,,
My,2.359184e-09,1.461919e-07,1.391695e-09,2.787777e-06,1.898176e-06,1.007093e-10,,
My,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
My,1.794599e-07,7.035063e-07,4.892655e-08,5.612618e-06,1.247947e-05,7.392732e-07,,
My,7.312740e-07,2.892300e-06,1.838235e-08,2.386458e-05,6.755345e-06,3.021906e-06,,
My,1.086009e-07,4.268492e-06,4.544440e-09,4.112968e-05,5.247362e-06,2.385182e-06,,
My,1.384669e-09,2.063853e-06,5.341829e-08,2.726853e-05,4.381200e-06,6.798491e-07,,
My,5.430983e-08,1.108829e-06,6.504892e-08,1.731532e-05,3.548869e-06,8.314043e-06,,
My,1.326834e-06,2.468780e-06,6.653317e-09,2.945484e-05,3.461759e-06,2.905348e-07,,
My,9.588066e-06,2.983182e-06,2.941353e-10,2.411266e-05,7.974858e-05,6.041166e-07,,
My,1.822643e-05,9.103992e-07,1.194882e-11,5.637729e-06,1.595371e-04,4.753883e-10,,
My,1.720701e-05,4.251676e-07,2.147400e-09,3.369475e-06,1.698454e-04,2.212082e-07,,
My,5.352448e-08,1.140478e-09,4.220888e-09,1.951335e-07,1.495957e-05,1.319792e-08,,
My,4.618863e-08,4.947864e-07,1.177439e-08,4.551117e-06,8.387693e-06,4.533577e-07,,
My,1.326162e-08,1.104569e-06,5.610789e-11,8.731312e-06,1.027115e-05,1.939250e-07,,
My,3.537938e-08,2.008953e-06,5.179505e-10,1.734224e-05,1.450427e-05,5.680319e-08,,
My,3.362174e-07,9.617757e-07,3.909505e-08,9.490311e-06,1.348893e-05,3.818608e-06,,
My,8.112953e-07,3.550331e-07,6.305314e-08,4.689771e-06,1.496420e-05,1.667069e-05,,
My,3.245519e-06,6.820130e-07,4.559257e-08,5.445202e-06,4.653940e-05,5.694696e-06,,
My,1.225988e-05,6.266433e-07,1.916630e-11,3.780103e-06,1.316113e-04,1.741388e-06,,
My,1.835256e-05,1.340103e-10,1.901920e-10,3.196014e-08,1.948932e-04,5.054945e-06,,
My,2.274151e-05,1.645133e-07,4.295146e-12,9.894106e-07,2.709605e-04,4.689331e-06,,
My,1.096737e-07,2.303219e-10,1.748361e-08,2.886765e-07,2.120823e-05,2.257162e-09,,
My,1.202506e-08,3.127177e-07,1.501448e-08,3.719461e-06,6.666315e-06,3.174962e-07,,
My,2.498696e-08,8.044159e-07,1.792796e-10,7.796490e-06,1.650385e-05,1.032519e-07,,
My,1.528887e-07,1.411798e-06,1.437300e-09,1.403837e-05,1.660605e-05,2.199741e-09,,
My,7.171231e-07,5.931274e-07,2.787058e-08,7.523901e-06,1.762517e-05,4.325950e-06,,
My,1.740582e-06,3.388555e-07,7.223387e-08,5.017792e-06,2.377214e-05,1.359825e-05,,
My,2.688492e-06,2.679272e-07,1.240941e-07,4.102962e-06,4.287238e-05,7.405396e-06,,
My,1.097065e-05,4.041956e-07,2.170286e-09,2.439510e-06,1.307135e-04,2.488908e-06,,
My,1.807452e-05,1.501270e-08,1.071019e-09,1.014444e-07,2.013068e-04,4.888970e-06,,
My,1.808622e-05,2.421842e-08,7.238277e-10,1.330782e-07,2.274783e-04,1.329196e-06,,
My,6.494298e-08,1.323461e-08,2.641857e-09,2.937961e-08,2.390359e-05,1.717127e-08,,
Mz,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Mz,1.239783e-06,1.143353e-07,3.170920e-07,6.548590e-06,1.617795e-06,2.007802e-05,,
Mz,4.490234e-06,3.759582e-09,1.101007e-06,2.688350e-05,1.176304e-06,7.071417e-05,,
Mz,2.153204e-07,6.248287e-08,2.207462e-06,8.948370e-05,2.885509e-06,5.550164e-06,,
Mz,8.122620e-07,4.292538e-07,2.810289e-06,1.527609e-04,1.540729e-06,7.314366e-06,,
Mz,1.660311e-06,6.550186e-07,3.024476e-06,2.100795e-04,1.796930e-08,3.700105e-05,,
Mz,2.388445e-06,6.657699e-07,2.593149e-06,2.160406e-04,3.952810e-06,3.889257e-05,,
Mz,3.386253e-06,2.850608e-07,2.216806e-06,1.390249e-04,7.111334e-06,4.570959e-05,,
Mz,3.947220e-06,6.929104e-08,8.194682e-07,6.204119e-05,4.701841e-06,3.874319e-05,,
Mz,1.497339e-06,1.258511e-08,2.522613e-07,1.755288e-05,3.440325e-06,1.166262e-05,,
Mz,2.087214e-09,7.135929e-09,3.924926e-10,1.493122e-07,4.867593e-07,4.759838e-06,,
Mz,8.640323e-07,1.328443e-07,3.370517e-07,7.058482e-06,3.803535e-06,3.389755e-05,,
Mz,3.848059e-06,1.044496e-09,1.157086e-06,2.967609e-05,3.583498e-06,1.060438e-04,,
Mz,3.144467e-07,7.141049e-08,2.149301e-06,9.281660e-05,5.037816e-06,2.388490e-05,,
Mz,4.008775e-07,3.207440e-07,2.761552e-06,1.558602e-04,3.067343e-06,1.032467e-08,,
Mz,1.137690e-06,7.071538e-07,3.165228e-06,2.276543e-04,5.580251e-07,8.238113e-06,,
Mz,1.750960e-06,6.428366e-07,2.960638e-06,2.164332e-04,6.223660e-06,1.039312e-05,,
Mz,3.026275e-06,1.897660e-07,2.030134e-06,1.436396e-04,9.694961e-06,1.543695e-05,,
Mz,2.893181e-06,2.437086e-08,8.600392e-07,6.191337e-05,7.280658e-06,1.362534e-05,,
Mz,8.620312e-07,2.330912e-08,4.039418e-07,1.788431e-05,5.696366e-06,2.141973e-08,,
Mz,7.297470e-09,1.895254e-08,1.402132e-09,1.127822e-07,1.313469e-06,1.217926e-05,,
Mz,9.840854e-07,2.382585e-07,3.458906e-07,7.606223e-06,5.586597e-06,5.595581e-05,,
Mz,3.461339e-06,6.915436e-09,1.075057e-06,2.970499e-05,4.865027e-06,1.253935e-04,,
Mz,3.614825e-07,3.037739e-08,2.002689e-06,9.955287e-05,8.131083e-06,3.872566e-05,,
Mz,3.486578e-07,1.024036e-07,2.806816e-06,1.570639e-04,5.009166e-06,8.542517e-07,,
Mz,8.229709e-07,5.526711e-07,3.082415e-06,2.405602e-04,1.269959e-06,1.614475e-06,,
Mz,1.490966e-06,4.803871e-07,2.898804e-06,2.333194e-04,9.332917e-06,2.751976e-06,,
Mz,2.390771e-06,7.535786e-08,1.973933e-06,1.443893e-04,1.326010e-05,5.421013e-06,,
Mz,2.432176e-06,1.573101e-08,8.976246e-07,5.882972e-05,9.606461e-06,3.980921e-06,,
Mz,6.464379e-07,1.269221e-07,3.162817e-07,1.774803e-05,8.352110e-06,1.039346e-06,,
Mz,8.292013e-09,4.362399e-08,1.033150e-09,5.750404e-08,3.166862e-06,1.922341e-05,,
Mz,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Mz,2.478099e-08,8.653293e-08,4.131624e-07,9.677627e-06,9.634593e-08,1.414549e-08,,
Mz,9.904055e-07,1.122718e-09,1.521211e-06,4.276424e-05,3.815092e-08,9.521014e-06,,
Mz,1.018419e-06,2.082670e-07,2.926343e-06,1.172149e-04,7.310989e-08,7.625807e-06,,
Mz,7.475765e-07,8.783078e-07,3.678322e-06,1.767933e-04,1.688867e-06,7.895073e-06,,
Mz,3.196024e-07,1.395800e-06,3.365509e-06,2.403613e-04,4.044892e-06,1.700300e-05,,
Mz,2.426686e-07,3.965604e-07,3.220802e-06,2.349334e-04,1.949117e-06,1.001680e-05,,
Mz,4.067251e-07,6.370491e-08,1.903485e-06,1.547926e-04,1.809129e-06,4.441580e-07,,
Mz,1.919682e-06,1.536433e-08,1.084228e-06,7.678206e-05,5.320127e-07,1.656510e-05,,
Mz,2.014219e-06,1.259223e-07,4.849043e-07,3.549824e-05,1.131819e-08,4.065108e-05,,
Mz,1.847413e-09,1.787148e-09,4.609998e-10,2.434643e-07,1.441082e-07,4.091236e-06,,
Mz,9.686856e-08,1.728071e-07,3.539142e-07,3.473841e-06,4.238375e-07,2.672940e-06,,
Mz,1.437104e-06,8.915957e-12,1.310274e-06,3.055007e-05,1.106639e-06,2.996770e-06,,
Mz,2.103770e-06,3.300620e-09,2.342826e-06,1.062530e-04,3.251724e-06,1.858619e-06,,
Mz,1.984899e-06,6.754826e-07,2.961516e-06,1.513628e-04,5.158951e-06,6.824158e-06,,
Mz,1.539960e-06,1.233483e-06,3.040423e-06,1.904221e-04,8.990103e-06,1.538440e-05,,
Mz,8.855153e-07,1.157227e-07,2.247305e-06,2.097507e-04,8.704858e-06,5.026695e-06,,
Mz,1.053788e-08,5.279852e-08,1.399094e-06,1.252792e-04,5.564655e-06,2.329827e-06,,
Mz,7.017518e-07,2.528536e-10,6.641405e-07,6.475812e-05,3.931995e-06,2.514974e-05,,
Mz,7.226765e-07,1.939451e-07,2.466352e-07,2.164608e-05,1.054922e-06,4.822657e-05,,
Mz,3.036059e-10,2.806981e-08,1.668200e-11,4.294199e-07,2.363208e-07,1.525537e-05,,
Mz,1.871519e-07,2.342552e-07,4.271894e-07,3.558699e-06,9.432166e-07,1.222650e-05,,
Mz,1.528075e-06,6.365874e-09,1.355328e-06,3.229898e-05,2.485713e-06,4.510926e-08,,
Mz,2.329070e-06,5.973354e-08,2.184445e-06,9.933043e-05,4.067533e-06,3.394020e-07,,
Mz,2.203101e-06,4.486049e-07,2.932903e-06,1.455045e-04,7.666823e-06,1.070939e-06,,
Mz,1.766629e-06,1.056118e-06,2.783430e-06,1.989327e-04,1.150077e-05,4.019629e-06,,
Mz,1.424274e-06,2.984900e-08,2.245924e-06,2.027281e-04,1.051521e-05,4.296005e-07,,
Mz,6.868087e-09,3.104175e-08,1.273879e-06,1.262387e-04,7.747807e-06,8.167400e-06,,
Mz,4.295708e-07,2.211767e-08,6.140260e-07,5.773529e-05,4.511113e-06,4.143154e-05,,
Mz,5.365941e-07,2.983050e-07,1.962324e-07,1.865881e-05,1.327939e-06,6.965735e-05,,
Mz,1.097123e-09,5.648195e-08,6.777823e-10,1.521598e-07,3.145664e-07,2.890311e-05,,
,,,,,,,,
,,,,,,,,
========== 通道统计值 (I类/II类误差) ==========,,,,,,,,
通道,((Fx-Fx')/量程)²统计值,((Fy-Fy')/量程)²统计值,((Fz-Fz')/量程)²统计值,((Mx-Mx')/量程)²统计值,((My-My')/量程)²统计值,((Mz-Mz')/量程)²统计值,,
Fx,0.00099604,0.00187317,0.00101477,0.00085602,0.01995467,0.00444969,,
Fy,0.00112559,0.00147572,0.00366360,0.04017331,0.00113776,0.00490667,,
Fz,0.00070071,0.00049643,0.00020322,0.00121680,0.00100322,0.00050913,,
Mx,0.00166677,0.00397337,0.00014049,0.01355394,0.00300411,0.00167300,,
My,0.00243745,0.00095492,0.00019602,0.00314054,0.00848221,0.00159457,,
Mz,0.00111085,0.00047910,0.00123970,0.00970091,0.00199040,0.00437009,,
I类误差,0.00745608,,,,,,,
II类误差中间值,0.00153044,0.00203393,0.00179147,0.01854766,0.00909369,0.00314566,,
II类误差,0.00944769,,,,,,,
